time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.000000,0,0,0,0
0.001784,0,0,0,0
0.003519,0,0,0,0
0.005258,0,0,0,0
0.006985,0,0,0,0
0.008735,0,0,0,0
0.010463,0,0,0,0
0.012246,0,0,0,0
0.013984,0,0,0,0
0.015712,0,0,0,0
0.017460,0,0,0,0
0.019186,0,0,0,0
0.020976,0,0,0,0
0.022703,0,0,0,0
0.024431,0,0,0,0
0.026157,0,0,0,0
0.027886,0,0,0,0
0.029631,0,0,0,0
0.031368,0,0,0,0
0.033267,0,0,0,0
0.034994,0,0,0,0
0.036731,0,0,0,0
0.038460,0,0,0,0
0.040193,0,0,0,0
0.041954,0,0,0,0
0.043680,0,0,0,0
0.045421,0,0,0,0
0.047148,0,0,0,0
0.048886,0,0,0,0
0.050615,0,0,0,0
0.052394,0,0,0,0
0.054121,0,0,0,0
0.055849,0,0,0,0
0.057594,0,0,0,0
0.059322,0,0,0,0
0.061101,0,0,0,0
0.062827,0,0,0,0
0.064563,0,0,0,0
0.066290,0,0,0,0
0.068018,0,0,0,0
0.069756,0,0,0,0
0.071487,0,0,0,0
0.073279,0,0,0,0
0.075005,0,0,0,0
0.076745,0,0,0,0
0.078471,0,0,0,0
0.080201,0,0,0,0
0.081971,0,0,0,0
0.083698,0,0,0,0
0.085437,0,0,0,0
0.087165,0,0,0,0
0.088903,0,0,0,0
0.090630,0,0,0,0
0.092397,0,0,0,0
0.094140,0,0,0,0
0.095866,0,0,0,0
0.097616,0,0,0,0
0.099343,0,0,0,0
0.101115,0,0,0,0
0.102843,0,0,0,0
0.104580,0,0,0,0
0.106307,0,0,0,0
0.108035,0,0,0,0
0.109778,0,0,0,0
0.111504,0,0,0,0
0.113283,0,0,0,0
0.115012,0,0,0,0
0.116750,0,0,0,0
0.118477,0,0,0,0
0.120204,0,0,0,0
0.121976,0,0,0,0
0.123702,0,0,0,0
0.125440,0,0,0,0
0.127168,0,0,0,0
0.128905,0,0,0,0
0.130632,0,0,0,0
0.132391,0,0,0,0
0.134132,0,0,0,0
0.135858,0,0,0,0
0.137598,0,0,0,0
0.139324,0,0,0,0
0.141100,0,0,0,0
0.142829,0,0,0,0
0.144564,0,0,0,0
0.146291,0,0,0,0
0.148050,0,0,0,0
0.149792,0,0,0,0
0.151520,0,0,0,0
0.153320,0,0,0,0
0.155046,0,0,0,0
0.156785,0,0,0,0
0.158514,0,0,0,0
0.160239,0,0,0,0
0.162016,0,0,0,0
0.163744,0,0,0,0
0.165480,0,0,0,0
0.167209,0,0,0,0
0.168947,0,0,0,0
0.170673,0,0,0,0
0.172427,0,0,0,0
0.174176,0,0,0,0
0.175902,0,0,0,0
0.177644,0,0,0,0
0.179374,0,0,0,0
0.181129,0,0,0,0
0.182869,0,0,0,0
0.184606,0,0,0,0
0.186334,0,0,0,0
0.188063,0,0,0,0
0.189805,0,0,0,0
0.191532,0,0,0,0
0.193314,0,0,0,0
0.195041,0,0,0,0
0.196780,0,0,0,0
0.198507,0,0,0,0
0.200233,0,0,0,0
0.202017,0,0,0,0
0.203744,0,0,0,0
0.205482,0,0,0,0
0.207212,0,0,0,0
0.208950,0,0,0,0
0.210678,0,0,0,0
0.212425,0,0,0,0
0.214170,0,0,0,0
0.215895,0,0,0,0
0.217638,0,0,0,0
0.219366,0,0,0,0
0.221115,0,0,0,0
0.222859,0,0,0,0
0.224607,0,0,0,0
0.226337,0,0,0,0
0.228064,0,0,0,0
0.229808,0,0,0,0
0.231535,0,0,0,0
0.233310,0,0,0,0
0.235039,0,0,0,0
0.236778,0,0,0,0
0.238507,0,0,0,0
0.240235,0,0,0,0
0.242022,0,0,0,0
0.243752,0,0,0,0
0.245490,0,0,0,0
0.247217,0,0,0,0
0.248954,0,0,0,0
0.250682,0,0,0,0
0.252419,0,0,0,0
0.254175,0,0,0,0
0.255902,0,0,0,0
0.257643,0,0,0,0
0.259370,0,0,0,0
0.261123,0,0,0,0
0.262875,0,0,0,0
0.264612,0,0,0,0
0.266340,0,0,0,0
0.268068,0,0,0,0
0.269809,0,0,0,0
0.271536,0,0,0,0
0.273325,0,0,0,0
0.275050,0,0,0,0
0.276790,0,0,0,0
0.278520,0,0,0,0
0.280247,0,0,0,0
0.282026,0,0,0,0
0.283757,0,0,0,0
0.285501,0,0,0,0
0.287230,0,0,0,0
0.288970,0,0,0,0
0.290699,0,0,0,0
0.292434,0,0,0,0
0.294219,0,0,0,0
